title,authors
Precision minimally invasive surgery by adaptive organ motion tracking and compensation,"Tomlin et al. 2000. Annals of Biomedical Engineering vol. 28, SUPPL. 1."
CPU-less robotics: distributed control of biomorphs,Etienne-Cummings et al. 2000.
A foveated silicon retina for two-dimensional tracking,"Etienne-Cummings et al. 2000. IEEE Transactions on Circuits and Systems II: Analog and Digital Signal Processing vol. 47, no. 6: 504-517."
Visual Gait Modification 1st Year Technical Report,Lewis and Etienne-Cummings. 1999.
Intelligent robot vision sensors in VLSI,"Etienne-Cummings. 1999. Autonomous Robots vol. 7, no. 3: 225-237."
Hardware implementation of a visual-motion pixel using oriented spatiotemporal neural filters,"Etienne-Cummings, Van der Spiegel, and Mueller. 1999. Departmental Papers (ESE)."
Architecture for distributed actuation and sensing using smart piezoelectric elements,Etienne-Cummings et al. 1998.
Neuromorphic and digital hybrid systems,"Etienne-Cummings, Van der Spiegel, and Mueller. 1997."
A general purpose image processing chip: Orientation detection,Etienne-Cummings and Cai. NIPS 1997.
A focal plane visual motion measurement sensor,"Etienne-Cummings, Van der Spiegel, and Mueller. 1997."
VLSI model of Primate visual smooth pursuit,"Etienne-Cummings, Van der Spiegel, and Mueller. 1996."
VLSI implementation of cortical visual motion detection using an analog neural computer,Etienne-Cummings et al. 1996.
Neuromorphic vision sensors,"Etienne-Cummings and Van der Spiegel. 1996. Sensors and Actuators A: Physical vol. 56, no. 1-2: 19-29."
Real-time visual target tracking: two implementations of velocity-based smooth pursuit,Etienne-Cummings et al. 1995. SPIE.
Spatiotemporal computation with a general purpose analog neural computer: Real-time visual motion estimation,Etienne-Cummings et al. 1994.
Large scale analog neural computer with programmable architecture and programmable time constants for temporal pattern analysis,Van der Spiegel et al. 1994.
Accurate and simple CMOS'one-over'circuit,"Etienne-Cummings, Hathaway, and Van der Spiegel. 1993. Electronics Letters vol. 29, no. 18: 1618-1620."
A new temporal domain optical flow measurement technique for focal plane VLSI implementation,Etienne-Cummings et al. 1993.
